产品名称;产品编码;规格型号;库位号;成本价;销售价;寄卖时间点;保留价;地区;收货人;客户;到库时间;结款日期;计量单位;上期结存(数量);本期收入(数量);本期发出(数量);本期结存(数量)
99新 bv墨绿色墨镜 ;AB029 ;盒子 眼镜布 ; ; ;999 ; ; ;上海 ;公司回收 ; ;（是）2015/3/22 ; ;个 ;1 ;0 ;0 ;1 
95新左右 chanel珍珠款墨镜 ;AB030 ;眼镜盒 眼镜布 ; ;1000 ;1600 ; ; ;上海 ;颜（回收） ; ;（是）2016/6/27 ; ;个 ;1 ;0 ;0 ;1 
95新 chloe经典款墨镜 ;AB031 ;盒子 眼镜盒 身份卡 纸卡 ; ;400 ;999 ; ; ;上海 ;颜（回收） ;提香 武汉店 ;（是）2016/7/22 ; ;个 ;1 ;0 ;0 ;1 
全新 dior新款粉色配金框墨镜 ;AB032 ;眼镜盒 眼镜布纸卡 ; ;2150 ;2800 ; ; ;上海 ;公司回收 ; ;（是）2016/8/23 ; ;个 ;1 ;0 ;0 ;1 
98新 dior女士墨镜 ;AB033 ;盒子 眼镜盒 眼镜布 发票 ; ;800 ;999 ; ; ;上海 ;颜（回收） ; ;（是）2016/4/21 ; ;个 ;1 ;0 ;0 ;1 
95新 chanel黑框墨镜 ;旧A0097新AB038 ;无 ; ;800 ;999 ; ; ;上海 ;颜（回收） ; ;2016/4/29 ; ;个 ;1 ;0 ;0 ;1 
全新 dior女士墨镜 ;旧A0126新AB042 ;盒子 眼镜盒 防尘袋 ; ; ;1800 ; ; ;厦门 ;颜 ; ;2016/6/26 ; ;个 ;1 ;0 ;0 ;1 
BAlmain黑色T恤 ;AI001 ;无 ; ;1350 ;1500 ;1350 ; ;上海 ; ;C00061 ;（是）2015/8/16 ; ;件 ;1 ;0 ;0 ;1 
全新La Perla内衣 ;BI002 ;包装袋 ; ; ;2999 ;2800 ; ;上海 ;姐姐 ;姐姐 ;2015/6/15 ; ;件 ;1 ;0 ;0 ;1 
C家皮裤灰色牛仔 ;AI003 ;无 ; ;268 ;380 ; ; ;上海 ; ;P0259 ;（是）2015/10/19 ; ;件 ;1 ;0 ;0 ;1 
C家皮裤灰色牛仔 ;AI024 ;无 ; ;268 ;380 ; ; ;上海 ; ;P0259 ;2015/10/19 ; ;件 ;1 ;0 ;0 ;1 
C家皮裤灰色牛仔 ;AI025 ;无 ; ;268 ;380 ; ; ;上海 ; ;P0259 ;2015/10/19 ; ;件 ;1 ;0 ;0 ;1 
C家皮裤黑色有扣子没拉链 ;AI004 ;无 ; ;345 ;450 ; ; ;上海 ; ;P0259 ;（是）2015/10/19 ; ;件 ;1 ;0 ;0 ;1 
C家皮裤黑色有扣子没拉链 ;AI026 ;无 ; ;345 ;450 ; ; ;上海 ; ;P0259 ;（是）2015/10/19 ; ;件 ;1 ;0 ;0 ;1 
C家皮裤黑色有扣子没拉链 ;AI027 ;无 ; ;345 ;450 ; ; ;上海 ; ;P0259 ;2015/10/19 ; ;件 ;1 ;0 ;0 ;1 
C家皮裤黑色有扣子没拉链 ;AI028 ;无 ; ;345 ;450 ; ; ;上海 ; ;P0259 ;2015/10/19 ; ;件 ;1 ;0 ;0 ;1 
C家皮裤黑色有扣子没拉链 ;AI029 ;无 ; ;345 ;450 ; ; ;上海 ; ;P0259 ;2015/10/19 ; ;件 ;1 ;0 ;0 ;1 
C家皮裤黑色有扣子有拉链 ;AI005 ;无 ; ;315 ;450 ; ; ;上海 ; ;P0259 ;2015/10/19 ; ;件 ;1 ;0 ;0 ;1 
C家皮裤黑色有扣子有拉链 ;AI030 ;无 ; ;315 ;450 ; ; ;上海 ; ;P0259 ;（是）2015/10/19 ; ;件 ;1 ;0 ;0 ;1 
c家裤子 大洞 ;AI012 ;无 ; ;282 ; ; ; ;上海 ; ; ;2016-03-01 ; ;件 ;1 ;0 ;0 ;1 
c家裤子 大洞 ;AI031 ;无 ; ;282 ; ; ; ;上海 ; ; ;2016/3/1 ; ;件 ;1 ;0 ;0 ;1 
c家裤子 大洞 ;AI032 ;无 ; ;282 ; ; ; ;上海 ; ; ;2016/3/1 ; ;件 ;1 ;0 ;0 ;1 
c家裤子 大洞 ;AI033 ;无 ; ;282 ; ; ; ;上海 ; ; ;2016/3/1 ; ;件 ;1 ;0 ;0 ;1 
c家裤子 大洞 ;AI034 ;无 ; ;282 ; ; ; ;上海 ; ; ;2016/3/1 ; ;件 ;1 ;0 ;0 ;1 
c家裤子 大洞 ;AI035 ;无 ; ;282 ; ; ; ;上海 ; ; ;（是）2016/3/1 ; ;件 ;1 ;0 ;0 ;1 
c家裤子 大洞 ;AI036 ;无 ; ;282 ; ; ; ;上海 ; ; ;2016/3/1 ; ;件 ;1 ;0 ;0 ;1 
c家裤子 大洞 ;AI037 ;无 ; ;282 ; ; ; ;上海 ; ; ;2016/3/1 ; ;件 ;1 ;0 ;0 ;1 
c家裤子 大洞 ;AI038 ;无 ; ;282 ; ; ; ;上海 ; ; ;2016/3/1 ; ;件 ;1 ;0 ;0 ;1 
c家裤子 水钻 ;AI013 ;无 ; ;356 ; ; ; ;上海 ; ; ;2016/3/1 ; ;件 ;1 ;0 ;0 ;1 
c家裤子 水钻 ;AI039 ;无 ; ;356 ; ; ; ;上海 ; ; ;（是）2016/3/1 ; ;件 ;1 ;0 ;0 ;1 
内衣 ;AI018 ;纸袋 ; ;1297 ; ; ; ;上海 ; ; ;2016/8/11 ; ;件 ;1 ;0 ;0 ;1 
全新休闲皮衣 ;AI023 ;防尘袋 标签 ; ;500 ;1300 ;1200 ; ;上海 ;李_ ; ;2016/11/28 ; ;件 ;1 ;0 ;0 ;1 
c家大破洞s ;旧A016 新AI040 ;无 ; ;282 ;399 ; ; ;厦门 ;公司 ; ;2016/3/26 ; ;件 ;1 ;0 ;0 ;1 
c家小破洞m ;旧A017新AI041 ;无 ; ;282 ;399 ; ; ;厦门 ;公司 ; ;2016/3/26 ; ;件 ;1 ;0 ;0 ;1 
9新Hermes女士玫粉色翻毛皮高跟凉鞋（35） ;AG003 ;无 ; ;700 ;999 ;900 ; ;上海 ; ;C00196 ;(是）2016/2/27 ; ;双 ;1 ;0 ;0 ;1 
97新SW nudtst红色高跟鞋（38） ;AG006 ;防尘袋 ; ;1800 ;1999 ;1900 ; ;上海 ; ;C00769 ;(是）2016/3/22 ; ;双 ;1 ;0 ;0 ;1 
全新菲拉格慕SF咖啡色翻毛皮一脚蹬休闲鞋（39. ;AG026 ;盒子、防尘袋、说明卡 ; ;1100 ;2200 ;2000 ; ;上海 ; ; ;(是）2016/7/11 ; ;双 ;1 ;0 ;0 ;1 
98新CL红底鞋（36.5） ;AG027 ;无 ; ;1800 ;1999 ;1900 ; ;上海 ; ; ;(是）2016/2/2 ; ;双 ;1 ;0 ;0 ;1 
CL女鞋36码 ;B-AG029 ;防尘袋/盒子 ; ;600 ; ; ; ;上海 ;提香 成都店 ;提香 成都店 ;(是）2016/10/19 ; ;双 ;1 ;0 ;0 ;1 
TOD'S36码 ;AG031 ;盒子 防尘袋 ; ;600 ; ; ; ;上海 ;提香 成都店 ;提香 成都店 ;(是）2016/11/4 ; ;双 ;1 ;0 ;0 ;1 
Lv牛精鞋39码 ;AG034 ;盒子、防尘袋、说明卡 ; ;2415 ; ; ; ;上海 ; ; ;(是）2016/11/4 ; ;双 ;1 ;0 ;0 ;1 
LV白色板鞋41.5码 ;AG037 ;防尘袋鞋带说明书 ; ;2000 ;2700 ;2600 ; ;上海 ;兰岚 ; ;(是）2016/11/11 ; ;双 ;1 ;0 ;0 ;1 
93新Valentino裸色铆钉鞋 ;AG041 ;包装袋 ; ;580.0 ; ; ; ;上海 ;淘宝岚岚 ;C01317 ;(是）2016/12/5 ; ;双 ;1 ;0 ;0 ;1 
givenchy 黑色39 ;旧A0097新AG049 ;盒子防尘袋说明卡 ; ;1800 ;1800 ; ; ;厦门 ;公司回收 ;C00386 ;2015/8/20 ; ;双 ;1 ;0 ;0 ;1 
全新 sf深棕色翻毛皮一脚蹬休闲鞋 ;旧A0206新AG050 ;鞋盒防尘袋 ; ;1100 ;1800 ;2400 ; ;厦门 ; ; ;2016/4/27 ; ;双 ;1 ;0 ;0 ;1 
全新dior黑色翻毛皮低跟鞋36 ;旧A0215新AG057 ;盒子 ; ;1200 ;2500 ;2300 ; ;厦门 ;公司回收 ;C00950 ;2016/6/27 ; ;双 ;1 ;0 ;0 ;1 
s'r黑色翻毛皮高跟鞋36 ;旧A0216新AG058 ;盒子 防尘袋 ; ;1000 ;2500 ;2300 ; ;厦门 ;公司回收 ;C00950 ;2016/6/27 ; ;双 ;1 ;0 ;0 ;1 
miumiu金色亮片绑带休闲鞋 ;旧A0217新AG059 ;盒子 鞋带 ; ;1200 ;2300 ;2000 ; ;厦门 ;公司回收 ;C00950 ;2016/6/27 ; ;双 ;1 ;0 ;0 ;1 
全新 dior花朵尖头玫红配黑色高 ;旧A0267新AG070 ;鞋盒 ; ;1000 ;2999 ;2500 ; ;厦门 ; ;C00950 ;2016/7/23 ; ;双 ;1 ;0 ;0 ;1 
全新 rv黑色漆皮方扣平底鞋36 ;旧A0265新AG071 ;盒子 防尘袋 纸卡 ; ;2000 ;3999 ;3500 ; ;厦门 ;公司回收 ;C00950 ;2016/7/23 ; ;双 ;1 ;0 ;0 ;1 
ferragamo鞋子全新 sf限量款香槟色丝绸材质搭配水钻 ;旧A0262新AG072 ;鞋盒 ; ;1500 ;2999 ;2500 ; ;厦门 ;公司回收 ;C00950 ;2016/7/23 ; ;双 ;1 ;0 ;0 ;1 
全新 miumiu暗红色爆裂纹高跟 ;旧A0270新AG073 ;鞋盒 ; ;1000 ;1800 ;1500 ; ;厦门 ;公司回收 ;C00950 ;2016/7/23 ; ;双 ;1 ;0 ;0 ;1 
全新 gucci女士翻毛皮鱼嘴高跟鞋 ;旧A0294新AG074 ;鞋盒 防尘袋 ; ;800 ;2500 ;2200 ; ;厦门 ;公司回收 ;C00950 ;2016/8/21 ; ;双 ;1 ;0 ;0 ;1 
全新 cl限量款蛇皮中邦绑带休闲鞋 ;旧Bp250新AG076 ;鞋盒 防尘袋 备用鞋带 ; ;3000 ;6000 ;5500 ; ;厦门 ;公司回收 ;C01236 ;2016/9/22 ; ;双 ;1 ;0 ;0 ;1 
全新 菲拉格慕酒红色漆皮高跟鞋36 ;旧Ap251新AG077 ;鞋盒 防尘袋 配钉 ; ;2500 ;2999 ;2800 ; ;厦门 ;琪琪公司回收 ; ;2016/9/27 ; ;双 ;1 ;0 ;0 ;1 
全新 ysl限量款黑色鱼子酱高跟鞋 ;旧Ap253新AG078 ;防尘袋 ; ;1000 ;2999 ;2500 ; ;厦门 ;提香 北京店 ;提香 北京店 ;2016/10/5 ; ;双 ;1 ;0 ;0 ;1 
95新 菲拉格慕女款宝蓝色漆皮高跟 ;旧Bp265新B-AG084 ;盒子 防尘袋 后跟钉 ; ;300 ;1200 ;1999 ; ;上海 ;公司回收 ; ;2016/10/19 ; ;双 ;1 ;0 ;0 ;1 
全新 lv深豆沙色防水牛皮一脚蹬4 ;旧A0246新AG097 ;鞋盒 ; ;1725 ;2800 ; ; ;厦门 ;公司回收 ; ;2016/6/3 ; ;双 ;1 ;0 ;0 ;1 
全新 lv藏蓝色翻毛皮一脚蹬帆船系 ;旧A0247新AG098 ;鞋盒 ; ;1695 ;2999 ; ; ;厦门 ;公司回收 ; ;2016/6/3 ; ;双 ;1 ;0 ;0 ;1 
未使用 D2女士翻毛皮绑带高跟鞋3 ;旧Bp291新AG109 ;鞋盒 ; ;600 ;1300 ;1200 ;900 ;上海 ;武汉提香 ;武汉提香 ;2016/11/27 ; ;双 ;1 ;0 ;0 ;1 
全新 rv黑色方根高跟鞋34 ;旧Ap305新AG116 ;无 ; ;1500 ;2999 ;2800 ;2000 ;厦门 ;武汉提香 ;武汉提香 ;2016/12/21 ; ;双 ;1 ;0 ;0 ;1 
全新 chanel黑色漆皮配蕾丝高 ;旧Ap307新AG119 ;防尘袋 ; ;1000 ;2500 ;2300 ;1800 ;厦门 ;琪 ;C01277 ;2017/1/12 ; ;双 ;1 ;0 ;0 ;1 
全新爱马仕手环 ;AD001 ;盒子 ; ;1880 ;1600 ; ; ;上海 ; ; ;（是）2015/6/7 ; ;个 ;1 ;0 ;0 ;1 
98新万宝龙白贝母项链 ;AD021 ;盒子 ; ;1200 ;2999 ;2500 ; ;上海 ;厦门 ;C00398 ;（是）2016/7/17 ; ;个 ;1 ;0 ;0 ;1 
95新tiffany手链 ;AD024 ;盒子 手袋 ; ;2800 ;3800 ;3500 ; ;上海 ;颜熹 ;C00115 ;2016/10/5 ; ;个 ;1 ;0 ;0 ;1 
93新卡地亚LOVE戒指53号 ;AD039 ;盒子、证书、发票 ; ;3000 ; ; ;5500 ;上海 ; ;C00696 ;（是）2015/12/15 ; ;个 ;1 ;0 ;0 ;1 
克罗心边钻戒指 ;AD053 ;无 ; ;1000 ; ; ; ;上海 ;微信岚岚 ;C01298 ;（是）2016/12/11 ; ;个 ;1 ;0 ;0 ;1 
二手 tiffany银饰项链 ;AD064 ;无 ; ;500 ;888 ; ; ;上海 ;颜（回收） ; ;（是）2016/5/28 ; ;个 ;1 ;0 ;0 ;1 
二手 tiffany银饰项链 ;AD065 ;无 ; ;500 ;888 ; ; ;上海 ;颜（回收） ; ;（是）2016/5/28 ; ;个 ;1 ;0 ;0 ;1 
全新 lv女士时装项链 ;AD069 ;盒子、防尘袋 ; ;1200 ;1300 ; ; ;上海 ;公司（回收） ; ;（是）2016/3/9 ; ;个 ;1 ;0 ;0 ;1 
卡地亚红绳 ;AD072 ;盒子 ; ;1800 ;1999 ; ; ;上海 ; ; ;2016/3/4 ; ;个 ;1 ;0 ;0 ;1 
二手 chanel项链 ;旧A0235新AD096 ;无 ; ;1500 ;2600 ;2300 ;2200 ;厦门 ;武汉提香 ;武汉提香 ;2017/2/12 ; ;个 ;1 ;0 ;0 ;1 
二手 tiffany 钥匙项链 ;旧A0236新AD097 ;无 ; ;2000 ;3900 ;3500 ;3000 ;厦门 ;武汉提香 ;武汉提香 ;2017/2/12 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;AH061 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;lv店员 ;lv店员 ;（是）2017/1/21 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;AH062 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;lv店员 ;lv店员 ;（是）2017/1/21 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;AH063 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;lv店员 ;lv店员 ;（是）2017/1/21 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;AH064 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;lv店员 ;lv店员 ;（是）2017/1/21 ; ;个 ;1 ;0 ;0 ;1 
钥匙扣 ;H0056 ;盒子 ; ;30 ; ; ; ;上海 ;李_ ; ;2017/1/21 ; ;个 ;6 ;0 ;0 ;6 
卡包 ;H0057 ;盒子 ; ;100 ; ; ; ;上海 ;李_ ; ;2017/1/21 ; ;个 ;15 ;0 ;0 ;15 
鼠标垫 ;H0058 ;盒子 ; ; ; ; ; ;上海 ; ; ;2017/1/21 ; ;个 ;1 ;0 ;0 ;1 
spirit钱包 ;H0059 ;钱包盒 ; ;149 ; ; ; ;上海 ;李_ ; ;2017/1/22 ; ;个 ;11 ;0 ;0 ;11 
spirit钱包 ;H0060 ;钱包盒 ; ;149 ; ; ; ;上海 ;李_ ; ;2017/1/22 ; ;个 ;16 ;0 ;0 ;16 
lv丝巾 ;旧A0139新AH069 ;无 ; ;500 ;600 ; ; ;厦门 ;公司回收 ; ;2016/1/10 ; ;个 ;1 ;0 ;0 ;1 
全新 lv涂鸦围巾 ;旧A0177新AH070 ;防尘袋 ; ;2000 ;2500 ; ; ;厦门 ;公司（回收） ; ;2016/3/9 ; ;个 ;1 ;0 ;0 ;1 
95新以上 lv桑蚕丝丝巾 ;旧A0190新AH071 ;160*45盒子 ; ;1000 ;1500 ; ; ;厦门 ;颜（回收） ; ;2016/5/7 ; ;个 ;1 ;0 ;0 ;1 
全新 hermes twilly丝 ;旧A0206新AH072 ;86盒子 ; ;800 ;999 ; ; ;厦门 ;公司回收 ; ;2016/10/10 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A0212新AH073 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/1/21 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A0215新AH074 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/1/21 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A0217新AH075 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/1/21 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A0221新AH076 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/1/21 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A0223新AH077 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/2/3 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A0225新AH078 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/2/3 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A02251新AH079 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/2/3 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A0227新AH081 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/2/3 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A0228新AH082 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/2/3 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A0230新AH084 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/2/3 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A0233新AH086 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/2/3 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A0234新AH087 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/2/3 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A0235新AH089 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/2/3 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A0236新AH090 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/2/3 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A0237新AH091 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/2/3 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A0238新AH092 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/2/3 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A0239新AH093 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/2/3 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A02391新AH094 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/2/3 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A0240新AH095 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/2/3 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A0241新AH096 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/2/3 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A0242新AH097 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/2/3 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A0243新AH098 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/2/3 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A0244新AH099 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/2/3 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A0246新AH100 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/2/3 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A0247新AH101 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/2/3 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A0249新AH102 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/2/3 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A0250新AH103 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/2/3 ; ;个 ;1 ;0 ;0 ;1 
lv领带 ;旧A02511新AH104 ;盒子 手提袋 ; ;620 ;999 ;950 ;900 ;上海 ;公司回收 ; ;2017/2/3 ; ;个 ;1 ;0 ;0 ;1 
90新chloe棕色手提单肩包 ;AE354 ;防尘袋 盒子 ; ;2260 ; ; ; ;上海 ;微信兰岚 ;C01035 ;（是）2017/2/15 ; ;个 ;1 ;0 ;0 ;1 
全新 lv白棋盘格流苏包 ;旧A1266新AE356 ;防尘袋 肩带 流苏 ; ;8540 ;9999 ;9800 ;9500 ;厦门 ;LV店员 ;LV店员 ;2017/2/16 ; ;个 ;1 ;0 ;0 ;1 
全新 lv棕棋盘格流苏包 ;旧A1267新AE357 ;防尘袋 肩带 流苏 ; ;8540 ;9999 ;9800 ;9500 ;上海 ;LV店员 ;LV店员 ;（是）2017/2/16 ; ;个 ;1 ;0 ;0 ;1 
全新 lv红花邮差包 ;旧A1268新AE358 ;防尘袋 肩带 ; ;9870 ;13500 ; ; ;上海 ;LV店员 ;LV店员 ;（是）2017/2/16 ; ;个 ;1 ;0 ;0 ;1 
全新 lv老花配皮手提单肩包 ;旧A1269新AE359 ;防尘袋 肩带 说明书 ; ;10780 ;12999 ;12800 ; ;上海 ;LV店员 ;LV店员 ;（是）2017/2/16 ; ;个 ;1 ;0 ;0 ;1 
全新 lv老花金头腰带90 ;AC035 ;盒子 防尘袋 ; ;2650 ;3200 ;3000 ; ;厦门 ;LV店员 ;LV店员 ;2017/2/16 ; ;个 ;1 ;0 ;0 ;1 
菲拉格慕粉色漆皮女士皮鞋 ;AG123 ;鞋盒 说明书 ; ;1000 ; ; ; ;上海 ;颜熹 ;C00497 ; ; ;个 ;1 ;0 ;0 ;1 
chanel项链 ;AD102 ;盒子 ; ;1000 ; ; ; ;上海 ;提香 武汉店 ;提香 武汉店 ;（是） ; ;个 ;1 ;0 ;0 ;1 
二手 hermes herbag大号宝石蓝 ;AE375 ;子袋 钥匙 锁 ; ;5000 ;8800 ;8000 ;7500 ;上海 ;琪琪微信 ;C01446 ;（是）2017/2/27 ; ;个 ;0 ;1 ;0 ;1 
全新lv藏蓝色翻毛皮一脚蹬 43 ;AG125 ;鞋盒 ; ;1695 ;2999 ;2800 ; ;厦门 ;公司 ; ;2016/6/3 ; ;个 ;1 ;0 ;0 ;1 
LV ;AE379 ;肩带 ; ;832 ;1200 ; ; ;上海 ;日本拍卖 ;日本拍卖 ;（是） ; ;个 ;1 ;0 ;0 ;1 
GUCCI 手提包 ;AE380 ;无 ; ;1716 ;2500 ; ; ;上海 ;日本拍卖 ;日本拍卖 ;（是） ; ;个 ;1 ;0 ;0 ;1 
FENDI大恶魔包挂 ;AH109 ;防尘袋 ; ;2500 ;3500 ; ;3000 ;上海 ;日本拍卖 ;日本拍卖 ;（是） ; ;个 ;1 ;0 ;0 ;1 
爱马仕围巾 ;AH111 ;包装盒 ; ;970 ;1600 ; ; ;上海 ;日本拍卖 ;日本拍卖 ;（是） ; ;个 ;1 ;0 ;0 ;1 
LV钥匙包 ;AH112 ;无 ; ;447 ; ; ; ;上海 ;日本拍卖 ;日本拍卖 ;（是） ; ;个 ;1 ;0 ;0 ;1 
Gucci子母包 ;AE382 ;子包 ; ;1536 ; ; ; ;上海 ;日本拍卖 ;日本拍卖 ;（是） ; ;个 ;1 ;0 ;0 ;1 
Chanel 旅行袋 ;AE383 ;身份卡 ; ;4160 ; ; ; ;上海 ;日本拍卖 ;日本拍卖 ;（是） ; ;个 ;1 ;0 ;0 ;1 
LV棋盘格单肩包 ;AE384 ;无 ; ;2790 ; ; ; ;上海 ;日本拍卖 ;日本拍卖 ;（是） ; ;个 ;1 ;0 ;0 ;1 
LV speedy手提包 ;AE385 ;无 ; ;2230 ; ; ; ;上海 ;日本拍卖 ;日本拍卖 ;（是） ; ;个 ;1 ;0 ;0 ;1 
Gucci单肩包 ;AE386 ;无 ; ;644.5 ; ; ; ;上海 ;日本拍卖 ;日本拍卖 ; ; ;个 ;0 ;1 ;0 ;1 
Gucci斜跨小包 ;AE387 ;无 ; ;1300 ; ; ; ;上海 ;日本拍卖 ;日本拍卖 ;2017-03-23 ; ;个 ;1 ;0 ;0 ;1 
LV 腰包 ;AE388 ;无 ; ;982 ; ; ; ;上海 ;日本拍卖 ;日本拍卖 ;（是） ; ;个 ;1 ;0 ;0 ;1 
Chanel钱包 ;AF092 ;无 ; ;239 ; ; ; ;上海 ;日本拍卖 ;日本拍卖 ;（是） ; ;个 ;1 ;0 ;0 ;1 
Chanel钱包 ;AF093 ;无 ; ;308 ; ; ; ;上海 ;日本拍卖 ;日本拍卖 ;（是） ; ;个 ;1 ;0 ;0 ;1 
Chanel钱包 ;AF094 ;身份卡 ; ;1070 ; ; ; ;上海 ;日本拍卖 ;日本拍卖 ; ; ;个 ;1 ;0 ;0 ;1 
Chanel钱包 ;AF095 ;身份卡 ; ;1003.5 ; ; ; ;上海 ;日本拍卖 ;日本拍卖 ; ; ;个 ;1 ;0 ;0 ;1 
Chanel钱包 ;AF096 ;无 ; ;935.5 ; ; ; ;上海 ;日本拍卖 ;日本拍卖 ;（是） ; ;个 ;1 ;0 ;0 ;1 
Chanel钱包 ;AF097 ;无 ; ;794 ; ; ; ;上海 ;日本拍卖 ;日本拍卖 ;（是） ; ;个 ;1 ;0 ;0 ;1 
Chanel钱包 ;AF098 ;身份卡 ; ;586 ; ; ; ;上海 ;日本拍卖 ;日本拍卖 ; ; ;个 ;1 ;0 ;0 ;1 
Chanel钱包 ;AF099 ;无 ; ;520 ; ; ; ;上海 ;日本拍卖 ;日本拍卖 ; ; ;个 ;1 ;0 ;0 ;1 
Chanel钱包 ;AF100 ;无 ; ;311.5 ; ; ; ;上海 ;日本拍卖 ;日本拍卖 ;（是） ; ;个 ;1 ;0 ;0 ;1 
中号爱马仕水桶手提包 ;AE389 ;无 ; ;5573 ; ; ; ;上海 ;日本拍卖 ;日本拍卖 ;（是） ; ;个 ;0 ;1 ;0 ;1 
凯丽爱马仕黑色手提包 ;AE390 ;肩带 ; ;29810 ; ; ; ;上海 ;日本拍卖 ;日本拍卖 ;（是） ; ;个 ;1 ;0 ;0 ;1 
LV手环 ;AD105 ;盒子 ; ;900 ;1200 ; ; ;上海 ;日本拍卖 ;日本拍卖 ;（是）2017-03-02 ; ;个 ;1 ;0 ;0 ;1 
施华洛世奇笔 ;AH114 ;盒子 ; ;138 ; ; ; ;上海 ;日本拍卖 ;日本拍卖 ;2017-03-02 ; ;个 ;1 ;0 ;0 ;1 
